
File: VID-ALPH.TXT

SCSI Vendor ID Assignments
as of  5/21/97

ID         Organization
---------  ---------------------------------------------------------------

3M         3M Company


ACL        Automated Cartridge Librarys, Inc.
AcuLab     AcuLab, Inc. (Tulsa, OK)
ADAPTEC    Adaptec
ADSI       Adaptive Data Systems, Inc. (a Western Digital subsidiary)
ADTX       ADTX Co., Ltd.
AERONICS   Aeronics, Inc.
AGFA       AGFA
AMCODYNE   Amcodyne
ANAMATIC   Anamartic Limited (England)
ANCOT      ANCOT Corp.
ANRITSU    Anritsu Corporation
APPLE      Apple Computer, Inc.
ARCHIVE    Archive
ARK        ARK Research Corporation
ASACA      ASACA Corp.
ASPEN      Aspen Peripherals
AST        AST Research
ASTK       Alcatel STK A/S
AT&T       AT&T
ATARI      Atari Corporation
ATG CYG    ATG Cygnet Inc.
ATTO       ATTO Technology Inc.
ATX        Alphatronix
AVR        Advanced Vision Research


BALLARD    Ballard Synergy Corp.
BERGSWD    Berg Software Design
BEZIER     Bezier Systems, Inc.
BiT        BiT Microsystems
BoxHill    Box Hill Systems Corporation
BULL       Bull Peripherals Corp.
BUSLOGIC   BusLogic Inc.


CalComp    CalComp, A Lockheed Company
CALIPER    Caliper (California Peripheral Corp.)
CAST       Advanced Storage Tech
CDC        Control Data or MPI
CDP        Columbia Data Products
CHEROKEE   Cherokee Data Systems
CHINON     Chinon
CIE&YED    YE Data, C.Itoh Electric Corp.
CIPHER     Cipher Data Products
Ciprico    Ciprico, Inc.
CIRRUSL    Cirrus Logic Inc.
CMD        CMD Technology Inc.
CNGR SFW   Congruent Software, Inc.
COGITO     Cogito
COMPAQ     Compaq Computer Corporation
COMPORT    Comport Corp.
COMPSIG    Computer Signal Corporation
CONNER     Conner Peripherals
CORE       Core International, Inc.
CPU TECH   CPU Technology, Inc.
CREO       Creo Products Inc.
CROSFLD    Crosfield Electronics
CROSSRDS   Crossroads Systems, Inc.
CSM, INC   Computer SM, Inc.


DATABOOK   Databook, Inc.
DATACOPY   Datacopy Corp.
DATAPT     Datapoint Corp.
DEC        Digital Equipment (Obsolete: New products use "Digital")
DELL       Dell Computer Corporation
DELPHI     Delphi Data Div. of Sparks Industries, Inc.
DENON      Denon/Nippon Columbia
DenOptix   DenOptix, Inc.
DEST       DEST Corp.
DGC        Data General Corp.
DIGIDATA   Digi-Data Corporation
Digital    Digital Equipment Corporation
DILOG      Distributed Logic Corp.
DISC       Document Imaging Systems Corp.
DPT        Distributed Processing Technology
DSI        Data Spectrum, Inc.
DSM        Deterner Steuerungs- und Maschinenbau GmbH & Co.
DTC QUME   Data Technology Qume
DXIMAGIN   DX Imaging


ECCS       ECCS, Inc.
ECMA       European Computer Manufacturers Association
Elms       Elms Systems Corporation
EMASS      EMASS, Inc.
EMC        EMC Corp.
EMULEX     Emulex
EPSON      Epson
Eris/RSI   RSI Systems, Inc.
EXABYTE    Exabyte Corp.


FILENET    FileNet Corp.
FRAMDRV    FRAMEDRIVE Corp.
FUJI       Fuji Electric Co., Ltd. (Japan)
FUJITSU    Fujitsu
FUNAI      Funai Electric Co., Ltd.
FUTURED    Future Domain Corp.


Gen_Dyn    General Dynamics
GIGATAPE   GIGATAPE GmbH
GIGATRND   GigaTrend Incorporated
Goidelic   Goidelic Precision, Inc.
GoldStar   LG Electronics Inc.
GOULD      Gould


HITACHI    Hitachi America Ltd or Nissei Sangyo America Ltd
HONEYWEL   Honeywell Inc.
HP         Hewlett Packard


i-cubed    i-cubed ltd.
IBM        International Business Machines
ICL        ICL
IDE        International Data Engineering, Inc.
IGR        Intergraph Corp.
IMPLTD     Integrated Micro Products Ltd.
IMPRIMIS   Imprimis Technology Inc.
INITIO     Initio Corporation
INSITE     Insite Peripherals
INTEL      INTEL Corporation
IOC        I/O Concepts, Inc.
IOMEGA     Iomega
ISi        Information Storage inc.
ISO        International Standards Organization
ITC        International Tapetronics Corporation


JPC Inc.   JPC Inc.
JVC        JVC Information Products Co.


KENNEDY    Kennedy Company
KENWOOD    KENWOOD Corporation
KODAK      Eastman Kodak
KONAN      Konan
KONICA     Konica Japan
Kyocera    Kyocera Corporation


LAPINE     Lapine Technology
LASERDRV   LaserDrive Limited
LASERGR    Lasergraphics, Inc.
LGE        LG Electronics Inc.
LION       Lion Optics Corporation
LMS        Laser Magnetic Storage International Company


MATSHITA   Matsushita
MaxOptix   Maxoptix Corp.
MAXSTRAT   Maximum Strategy, Inc.
MAXTOR     Maxtor Corp.
MDI        Micro Design International, Inc.
MEADE      Meade Instruments Corporation
MELA       Mitsubishi Electronics America
MELCO      Mitsubishi Electric (Japan)
MEMREL     Memrel Corporation
MEMTECH    MemTech Technology
MERIDATA   Oy Meridata Finland Ltd.
METRUM     Metrum, Inc.
MICROBTX   Microbotics Inc.
MICROP     Micropolis
MICROTEK   Microtek Storage Corp
Minitech   Minitech (UK) Limited
Minolta    Minolta Corporation
MINSCRIB   Miniscribe
MITSUMI    Mitsumi Electric Co., Ltd.
MOTOROLA   Motorola
MST        Morning Star Technologies, Inc.
MTNGATE    MountainGate Data Systems


NAI        North Atlantic Industries
NAKAMICH   Nakamichi Corporation
NatInst    National Instruments
NatSemi    National Semiconductor Corp.
NCL        NCL America
NCR        NCR Corporation
NEC        NEC
NISCA      NISCA Inc.
NKK        NKK Corp.
NRC        Nakamichi Corporation
NSM        NSM Jukebox GmbH
NT         Northern Telecom


OAI        Optical Access International
OCE        Oce Graphics
OKI        OKI Electric Industry Co.,Ltd (Japan)
OMI        Optical Media International
OMNIS      OMNIS Company (FRANCE)
OPTIMEM    Cipher/Optimem
OPTOTECH   Optotech
ORCA       Orca Technology
OSI        Optical Storage International
OTL        OTL Engineering


PASCOsci   Pasco Scientific
PERTEC     Pertec Peripherals Corporation
PFTI       Performance Technology Inc.
PFU        PFU Limited
PICO       Packard Instrument Company
PIONEER    Pioneer Electronic Corp.
